Rank,Name,Team,ByeWeek,Position,PositionRank,AverageDraftPositionPPR
531,Nathan Peterman,NO,12,QB,QB68,588
532,Trey Lance,DAL,7,QB,QB69,589
533,Tyler Goodson,IND,14,RB,RB134,590
534,Atlanta Falcons,ATL,12,DST,DST27,593
535,Lance McCutcheon,NYJ,12,WR,WR186,594
536,Julius Chestnut,TEN,5,RB,RB135,595
537,Ray-Ray McCloud,ATL,12,WR,WR187,596
538,Los Angeles Rams,LAR,6,DST,DST28,598
539,Tyler Johnson,LAR,6,WR,WR188,601
540,Velus Jones,CHI,7,WR,WR189,603
541,Brandon Johnson,DEN,14,WR,WR190,605
542,Tennessee Titans,TEN,5,DST,DST29,606
543,Jalen Nailor,MIN,6,WR,WR191,607
544,Mitchell Trubisky,BUF,12,QB,QB70,608
545,Braxton Berrios,MIA,6,WR,WR192,610
546,Mike Strachan,CAR,11,WR,WR193,611
547,Steven Sims,HOU,14,WR,WR194,612
548,Washington Commanders,WAS,14,DST,DST30,613
549,Jake Tonges,SF,9,TE,TE84,615
